doc	source_file	pmid	field	kind	entity_id	label	original_spans	context	relationship_subject_id	relationship_subject_label	chemical_relationship	chemical_level_type	chemical_base_label	chebi_label	chemicals_utilized	study_taxa	strains	chemical_relationship_id	chemical_relationship_label	chemical_relationship_match_type	grounded_id	grounded_ids	kg_name	kg_category	match_type	kg_edge_count	kg_edge_evidence
1	00001-41779015-abstract.txt	41779015	strains	strain	AUTO:Gardnerella%20vaginalis%201400E	Gardnerella vaginalis 1400E	1040:1067	...T, Marseille-QA0894T and Marseille-Q2328T against [[Gardnerella vaginalis 1400E]] (genomic species 2), G. vaginalis 6119V5 (genomic...							0	0	1				NCBITaxon:698956	NCBITaxon:698956	Gardnerella vaginalis 1400E	biolink:OrganismTaxon	name	9	out:biolink:subclass_of:NCBITaxon:2702|out:biolink:has_phenotype:METPO:1000703|out:biolink:has_phenotype:METPO:1000668|out:biolink:has_phenotype:METPO:1000698|out:biolink:has_phenotype:METPO:1000667
1	00001-41779015-abstract.txt	41779015	strains	strain	AUTO:Gardnerella%20vaginalis%206119V5	Gardnerella vaginalis 6119V5	1102:1108	...vaginalis 1400E (genomic species 2), G. vaginalis [[6119V5]] (genomic species 9) and G. vaginalis NR010 (genom...							0	0	1				NCBITaxon:698961	NCBITaxon:698961	Gardnerella vaginalis 6119V5	biolink:OrganismTaxon	name	9	out:biolink:subclass_of:NCBITaxon:2702|out:biolink:has_phenotype:METPO:1000703|out:biolink:has_phenotype:METPO:1000668|out:biolink:has_phenotype:METPO:1000615|out:biolink:has_phenotype:METPO:1000698
1	00001-41779015-abstract.txt	41779015	strains	strain	AUTO:Gardnerella%20vaginalis%20NR010	Gardnerella vaginalis NR010	1146:1151	...nalis 6119V5 (genomic species 9) and G. vaginalis [[NR010]] (genomic species 14) were 72.1%, 72.4% and 75.5%,...							0	0	1									0	
1	00001-41779015-abstract.txt	41779015	strains	strain	AUTO:Marseille-Q2328T	Marseille-Q2328T	83:99; 480:496; 744:760; 1015:1031; 1937:1953	...e-Q9181T, Marseille-QA0894T, Marseille-Q9179T and [[Marseille-Q2328T]] - were isolated, the first three from vaginal sam...; ...e-forming coccobacilli. Strains Marseille-Q9181T, [[Marseille-Q2328T]] and Marseille-Q9179T were facultative anaerobes w...; ...n strains Marseille-Q9181T, Marseille-QA0894T and [[Marseille-Q2328T]] were C16 : 0, C18 : 1 ω9c and C18 : 0. In strain ...; ...r strains Marseille-Q9181T, Marseille-QA0894T and [[Marseille-Q2328T]] against Gardnerella vaginalis 1400E (genomic spec...; ..., Gardnerella massiliensis sp. nov. (type strain: [[Marseille-Q2328T]]=CSUR Q2328T=CECT 30239T) and Gardnerella phocaeen...							0	0	1									0	
1	00001-41779015-abstract.txt	41779015	strains	strain	AUTO:Marseille-Q9179T	Marseille-Q9179T	62:78; 501:517; 810:826; 1347:1363; 2030:2046	"...al strains - Marseille-Q9181T, Marseille-QA0894T, [[Marseille-Q9179T]] and Marseille-Q2328T - were isolated, the first t...; ...i. Strains Marseille-Q9181T, Marseille-Q2328T and [[Marseille-Q9179T]] were facultative anaerobes with microaerophilic c...; ... were C16 : 0, C18 : 1 ω9c and C18 : 0. In strain [[Marseille-Q9179T]], C18 : 0 was also among the most abundant fatty a...; ...pecies demarcation threshold. In contrast, strain [[Marseille-Q9179T]] exhibited both dDDH and OrthoANI values below the...; ...nd Gardnerella phocaeensis sp. nov. (type strain: [[Marseille-Q9179T]]=CSUR Q9179T=CECT 31120T).
"							0	0	1									0	
1	00001-41779015-abstract.txt	41779015	strains	strain	AUTO:Marseille-Q9181T	Marseille-Q9181T	25:41; 462:478; 704:720; 975:991; 1756:1772	Four bacterial strains - [[Marseille-Q9181T]], Marseille-QA0894T, Marseille-Q9179T and Marseill...; ...otile and non-spore-forming coccobacilli. Strains [[Marseille-Q9181T]], Marseille-Q2328T and Marseille-Q9179T were facul...; ...dominant fatty acids (>10%) identified in strains [[Marseille-Q9181T]], Marseille-QA0894T and Marseille-Q2328T were C16 ...; ...l DNA-DNA hybridization (dDDH) values for strains [[Marseille-Q9181T]], Marseille-QA0894T and Marseille-Q2328T against G...; ...: Gardnerella lacydonensis sp. nov. (type strain: [[Marseille-Q9181T]]=CSUR Q9181T=CECT 31121T), Gardnerella bretellae s...							0	0	1									0	
1	00001-41779015-abstract.txt	41779015	strains	strain	AUTO:Marseille-QA0894T	Marseille-QA0894T	43:60; 588:605; 722:739; 993:1010; 1844:1861	Four bacterial strains - Marseille-Q9181T, [[Marseille-QA0894T]], Marseille-Q9179T and Marseille-Q2328T - were iso...; ...erobes with microaerophilic capabilities, whereas [[Marseille-QA0894T]] was strictly anaerobic and microaerophilic. The d...; ...ds (>10%) identified in strains Marseille-Q9181T, [[Marseille-QA0894T]] and Marseille-Q2328T were C16 : 0, C18 : 1 ω9c an...; ...ation (dDDH) values for strains Marseille-Q9181T, [[Marseille-QA0894T]] and Marseille-Q2328T against Gardnerella vaginali...; ...1T), Gardnerella bretellae sp. nov. (type strain: [[Marseille-QA0894T]]=CSUR QA0894T=CECT 31122T), Gardnerella massiliens...							0	0	1									0	
1	00001-41779015-abstract.txt	41779015	study_taxa	taxon_candidate	AUTO:Gardnerella%20bretellae	Gardnerella bretellae	1799:1820	...train: Marseille-Q9181T=CSUR Q9181T=CECT 31121T), [[Gardnerella bretellae]] sp. nov. (type strain: Marseille-QA0894T=CSUR QA0...							0	1	0									0	
1	00001-41779015-abstract.txt	41779015	study_taxa	taxon_candidate	AUTO:Gardnerella%20lacydonensis	Gardnerella lacydonensis	1708:1732	...ella, for which the following names are proposed: [[Gardnerella lacydonensis]] sp. nov. (type strain: Marseille-Q9181T=CSUR Q918...							0	1	0									0	
1	00001-41779015-abstract.txt	41779015	study_taxa	taxon_candidate	AUTO:Gardnerella%20massiliensis	Gardnerella massiliensis	1889:1913	...ain: Marseille-QA0894T=CSUR QA0894T=CECT 31122T), [[Gardnerella massiliensis]] sp. nov. (type strain: Marseille-Q2328T=CSUR Q232...							0	1	0									0	
