doc	source_file	pmid	field	kind	entity_id	label	original_spans	context	relationship_subject_id	relationship_subject_label	chemical_relationship	chemicals_utilized	study_taxa	strains	chemical_relationship_id	chemical_relationship_label	chemical_relationship_match_type	grounded_id	grounded_ids	kg_name	kg_category	match_type	kg_edge_count	kg_edge_evidence
3	00003-41773501-abstract.txt	41773501	chemical_utilization_object	chemical	AUTO:H2	H2	297:299; 668:670; 691:693; 763:765	... autotrophic and coccoidal and grew separately on [[H2]]/CO2 and formate. [[Ax23T]] grew on NH4 + and by fixin...; ...ed per mole of CH4 produced) when grown on 10 kPa [[H2]] relative to 160 kPa H2, suggesting that it is cap...; ...uced) when grown on 10 kPa H2 relative to 160 kPa [[H2]], suggesting that it is capable of a metabolic tra...; ... is capable of a metabolic trade-off with varying [[H2]] availability. Phylogenetic analysis based on 16S ...	AUTO:Ax23T	Ax23T	uses_as_electron_donor	1	0	0	METPO:2000009	uses as electron donor	label	CHEBI:18276	CHEBI:18276	dihydrogen	biolink:ChemicalEntity|biolink:ChemicalSubstance|biolink:SmallMolecule	synonym	275	out:biolink:subclass_of:CHEBI:138675|out:biolink:subclass_of:CHEBI:25362|out:biolink:subclass_of:CHEBI:33260|out:biolink:related_to:CHEBI:15022|out:biolink:has_chemical_role:CHEBI:15022
3	00003-41773501-abstract.txt	41773501	chemical_utilization_object	chemical	AUTO:CO2	CO2	300:303	...totrophic and coccoidal and grew separately on H2/[[CO2]] and formate. [[Ax23T]] grew on NH4 + and by fixing N2...	AUTO:Ax23T	Ax23T	uses_as_carbon_source	1	0	0	METPO:2000006	uses as carbon source	label	CHEBI:16526	CHEBI:16526	carbon dioxide	biolink:ChemicalEntity|biolink:ChemicalSubstance|biolink:SmallMolecule	synonym	4406	out:biolink:subclass_of:CHEBI:138675|out:biolink:subclass_of:CHEBI:23014|out:biolink:subclass_of:CHEBI:64708|out:biolink:related_to:CHEBI:35620|out:biolink:has_chemical_role:CHEBI:35620
3	00003-41773501-abstract.txt	41773501	chemical_utilization_object	chemical	AUTO:formate	formate	308:315	...c and coccoidal and grew separately on H2/CO2 and [[formate]]. [[Ax23T]] grew on NH4 + and by fixing N2, but did no...	AUTO:Ax23T	Ax23T	uses_as_carbon_source	1	0	0	METPO:2000006	uses as carbon source	label	CHEBI:15740	CHEBI:15740|CHEBI:52343	formate	biolink:ChemicalEntity|biolink:SmallMolecule	name	1250	out:biolink:subclass_of:CHEBI:35757|out:biolink:related_to:CHEBI:75772|out:biolink:related_to:CHEBI:77746|out:biolink:related_to:CHEBI:30751|in:biolink:related_to:CHEBI:62965
3	00003-41773501-abstract.txt	41773501	chemical_utilization_object	chemical	AUTO:NH4%2B	NH4+	331:336	...w separately on H2/CO2 and formate. [[Ax23T]] grew on [[NH4 +]] and by fixing N2, but did not grow on NO3 -. The ...	AUTO:Ax23T	Ax23T	uses_for_growth	1	0	0	METPO:2000012	uses for growth	label	CHEBI:28938	CHEBI:28938	ammonium	biolink:ChemicalEntity|biolink:ChemicalSubstance|biolink:SmallMolecule	synonym	2281	in:biolink:related_to:CHEBI:16134|out:biolink:subclass_of:CHEBI:35106|out:biolink:subclass_of:CHEBI:50313|out:biolink:subclass_of:CHEBI:60242|out:biolink:related_to:CHEBI:23357
3	00003-41773501-abstract.txt	41773501	chemical_utilization_object	chemical	AUTO:N2	N2	351:353	...O2 and formate. [[Ax23T]] grew on NH4 + and by fixing [[N2]], but did not grow on NO3 -. The isolate grew at t...	AUTO:Ax23T	Ax23T	uses_for_growth	1	0	0	METPO:2000012	uses for growth	label	CHEBI:17997	CHEBI:17997	dinitrogen	biolink:ChemicalEntity|biolink:ChemicalSubstance|biolink:SmallMolecule	synonym	889	out:biolink:subclass_of:CHEBI:138675|out:biolink:subclass_of:CHEBI:25362|out:biolink:subclass_of:CHEBI:33266|out:biolink:related_to:CHEBI:77974|out:biolink:related_to:CHEBI:78017
3	00003-41773501-abstract.txt	41773501	chemical_utilization_object	chemical	AUTO:NO3-	NO3-	375:380	...ew on NH4 + and by fixing N2, but did not grow on [[NO3 -]]. The isolate grew at temperatures ranging from 33...	AUTO:Ax23T	Ax23T	does_not_use_for_growth	1	0	0	METPO:2000038	does not use for growth	label						0	
3	00003-41773501-abstract.txt	41773501	chemical_utilization_object	chemical	AUTO:CH4	CH4	633:636	...ased its growth yield (cells produced per mole of [[CH4]] produced) when grown on 10 kPa H2 relative to 160...	AUTO:Ax23T	Ax23T	produces	1	0	0	METPO:2000202	produces	label	CHEBI:16183	CHEBI:16183	methane	biolink:ChemicalEntity|biolink:ChemicalSubstance|biolink:SmallMolecule	synonym	83	out:biolink:subclass_of:CHEBI:138675|out:biolink:subclass_of:CHEBI:18310|out:biolink:subclass_of:CHEBI:37176|out:biolink:subclass_of:CHEBI:64708|out:biolink:related_to:CHEBI:35230
3	00003-41773501-abstract.txt	41773501	chemical_utilization_object	chemical	AUTO:NaCl	NaCl	519:523	... doubling time of 32 min, in the presence of 3-6% [[NaCl]] (optimum 3-4.5%) and pH 4.0-9.0 (optimum 6.0-8.0)...	AUTO:Ax23T	Ax23T	tolerates	1	0	0	METPO:2000064	tolerates	label	CHEBI:26710	CHEBI:26710	1% sodium chloride	biolink:ChemicalEntity|biolink:ChemicalSubstance|biolink:SmallMolecule	synonym	2636	out:biolink:subclass_of:CHEBI:36093|out:biolink:subclass_of:CHEBI:38702|out:biolink:related_to:CHEBI:149552|out:biolink:has_chemical_role:CHEBI:149552|out:biolink:related_to:CHEBI:228364
4	00004-41790565-abstract.txt	41790565	chemical_utilization_object	chemical	AUTO:NaCl	NaCl	391:395; 463:467	...3T grew optimally at 35 °C, pH 6.0 and 0.5% (v/w) [[NaCl]], while strain MAC6T grew optimally at 30 °C, pH 6...; ...6T grew optimally at 30 °C, pH 6.0 and 4.0% (v/w) [[NaCl]]. Based on 16S rRNA gene sequence similarity, P3C3...	AUTO:P3C3T	P3C3T	tolerates	1	0	0	METPO:2000064	tolerates	label	CHEBI:26710	CHEBI:26710	1% sodium chloride	biolink:ChemicalEntity|biolink:ChemicalSubstance|biolink:SmallMolecule	synonym	2636	out:biolink:subclass_of:CHEBI:36093|out:biolink:subclass_of:CHEBI:38702|out:biolink:related_to:CHEBI:149552|out:biolink:has_chemical_role:CHEBI:149552|out:biolink:related_to:CHEBI:228364
4	00004-41790565-abstract.txt	41790565	chemical_utilization_object	chemical	AUTO:NaCl	NaCl	391:395; 463:467	...3T grew optimally at 35 °C, pH 6.0 and 0.5% (v/w) [[NaCl]], while strain [[MAC6T]] grew optimally at 30 °C, pH 6...; ...6T grew optimally at 30 °C, pH 6.0 and 4.0% (v/w) [[NaCl]]. Based on 16S rRNA gene sequence similarity, P3C3...	AUTO:MAC6T	MAC6T	tolerates	1	0	0	METPO:2000064	tolerates	label	CHEBI:26710	CHEBI:26710	1% sodium chloride	biolink:ChemicalEntity|biolink:ChemicalSubstance|biolink:SmallMolecule	synonym	2636	out:biolink:subclass_of:CHEBI:36093|out:biolink:subclass_of:CHEBI:38702|out:biolink:related_to:CHEBI:149552|out:biolink:has_chemical_role:CHEBI:149552|out:biolink:related_to:CHEBI:228364
