microbe,id,label,original_spans,span_text,study_taxa,strains,chemicals_mentioned,pmids
UNKNOWN_MICROBE,AUTO:DA-C8,DA-C8,243:247; 581:585; 727:731; 891:895; 1152:1156; 1251:1255; 1363:1367; 1791:1795,"...-degrading bacterium that we designated as strain [[DA-C]]8T. The strain was isolated from compost from Ishi...; ...-11.0 (optimum, pH 9.0). As well as xylan, strain [[DA-C]]8T could use polysaccharides such as arabinoxylan ...; ... of 16S rRNA gene sequences indicated that strain [[DA-C]]8T was most closely related to Paenibacillus cisol...; ...SCC596 (93.5 %). In phylogenetic analysis, strain [[DA-C]]8T belonged to the same lineage as Xylanibacillus ...; ...erage amino acid sequence identity between strain [[DA-C]]8T and P. cisolokensis LC2-13AT were 21.8, 68.3 an...; ....3 and 58.2 %, respectively. Those between strain [[DA-C]]8T and X. composti K13 were 23.7, 67.7 and 57.6 %,...; ...ively. The whole-genome DNA G+C content of strain [[DA-C]]8T was 52.3 mol%. The major cellular fatty acids w...; ...ter thermoxylanivorax sp. nov. The type strain is [[DA-C]]8T (=JCM 34211T=DSM 111723T).\n\nPMID:36943336', '...",0,0,0,36943336
UNKNOWN_MICROBE,AUTO:LC2-13A,LC2-13A,789:795; 1179:1185,"...ost closely related to Paenibacillus cisolokensis [[LC2-13]]AT (93.9 %) and Paenibacillus chitinolyticus HSCC5...; ...dentity between strain DA-C8T and P. cisolokensis [[LC2-13]]AT were 21.8, 68.3 and 58.2 %, respectively. Those...",0,0,0,36943336
UNKNOWN_MICROBE,AUTO:HSCC596,HSCC596,840:846,"...C2-13AT (93.9 %) and Paenibacillus chitinolyticus [[HSCC59]]6 (93.5 %). In phylogenetic analysis, strain DA-C8...",0,0,0,36943336
UNKNOWN_MICROBE,AUTO:K13,K13,954:956; 1274:1276,"...ed to the same lineage as Xylanibacillus composti [[K1]]3T (92.5 %), but there was less statistical suppor...; ...vely. Those between strain DA-C8T and X. composti [[K1]]3 were 23.7, 67.7 and 57.6 %, respectively. The wh...",0,1,0,36943336
UNKNOWN_MICROBE,AUTO:JCM%2034211,JCM 34211,1800:1808,"...oxylanivorax sp. nov. The type strain is DA-C8T (=[[JCM 3421]]1T=DSM 111723T).\n\nPMID:36943336', 'saved_to': No...",0,1,0,36943336
UNKNOWN_MICROBE,AUTO:DSM%20111723,DSM 111723,1811:1820,"...x sp. nov. The type strain is DA-C8T (=JCM 34211T=[[DSM 11172]]3T).\n\nPMID:36943336', 'saved_to': None, 'windowe...",0,1,0,36943336
UNKNOWN_MICROBE,AUTO:beech%20wood%20xylan,beech wood xylan,347:362,"...gaki Island, Japan, by enrichment culturing using [[beech wood xyla]]n as the sole carbon source. The strain showed hig...",0,0,1,36943336
UNKNOWN_MICROBE,,,,,0,0,0,36943336
UNKNOWN_MICROBE,AUTO:BW863,BW863,368:372; 582:586; 1068:1072; 1669:1673; 1832:1836,"...Hypholoma fasciculare and were designated strains [[BW86]]3(T) and BW872. They are capable of methylotrophic...; ...es utilized ethanol, pyruvate and malate. Strains [[BW86]]3(T) and BW872 are obligately acidophilic, mesophi...; ...sis of 16S rRNA gene sequence similarity, strains [[BW86]]3(T) and BW872 are most closely related to the aci...; ... 64-67 %. The data therefore suggest that strains [[BW86]]3(T) and BW872 represent a novel genus and species...; ...ula ligni gen. nov., sp. nov. is proposed. Strain [[BW86]]3(T) (=DSM 19998(T) =NCIMB 14408(T)) is the type s...",0,1,0,19622650
UNKNOWN_MICROBE,AUTO:BW872,BW872,381:385; 595:599; 1081:1085; 1682:1686,"...ciculare and were designated strains BW863(T) and [[BW87]]2. They are capable of methylotrophic growth and a...; ...thanol, pyruvate and malate. Strains BW863(T) and [[BW87]]2 are obligately acidophilic, mesophilic organisms...; ...NA gene sequence similarity, strains BW863(T) and [[BW87]]2 are most closely related to the acidophilic meth...; ... data therefore suggest that strains BW863(T) and [[BW87]]2 represent a novel genus and species of methylotr...",0,1,0,19622650
UNKNOWN_MICROBE,AUTO:DSM%2019998,DSM 19998,1843:1851,"...en. nov., sp. nov. is proposed. Strain BW863(T) (=[[DSM 1999]]8(T) =NCIMB 14408(T)) is the type strain of Methyl...",0,1,0,19622650
UNKNOWN_MICROBE,AUTO:NCIMB%2014408,NCIMB 14408,1857:1867,...nov. is proposed. Strain BW863(T) (=DSM 19998(T) =[[NCIMB 1440]]8(T)) is the type strain of Methylovirgula ligni.\...,0,1,0,19622650
UNKNOWN_MICROBE,AUTO:B2,B2,1168:1169,... acidophilic methanotroph Methylocapsa acidiphila [[B]]2(T) (96.5-97 %). Comparative sequence analysis of...,0,0,0,19622650
UNKNOWN_MICROBE,AUTO:ribulose-bisphosphate,ribulose-bisphosphate,460:480,"...thylotrophic growth and assimilate carbon via the [[ribulose-bisphosphat]]e pathway. In addition to methanol, the novel isol...",0,0,0,19622650
UNKNOWN_MICROBE,AUTO:Q-10,Q-10,942:945,...hylobacterium strains. The predominant quinone is [[Q-1]]0. The DNA G+C content of the novel isolates is 61...,0,0,0,19622650
UNKNOWN_MICROBE,AUTO:SOL3f37,SOL3f37,232:238; 373:379; 458:464; 820:826; 916:922; 1171:1177; 1501:1507; 1589:1595; 1975:1981; 2106:2112,"...hilic and mesophilic bacterium, designated strain [[SOL3f3]]7(T), was isolated from a hydrocarbon-polluted soi...; ...ronment located in south Tunisia. Cells of strain [[SOL3f3]]7(T) stained Gram-positive and were motile, straig...; ...d were motile, straight and spore-forming. Strain [[SOL3f3]]7(T) had a typical Gram-positive-type cell-wall st...; ...15 : 0) (3.9 %) and iso-C(15 : 1) (2.8 %). Strain [[SOL3f3]]7(T) grew between 20 and 48 °C (optimum 40 °C) and...; ...40 °C) and at pH 6.2-8.1 (optimum pH 6.9). Strain [[SOL3f3]]7(T) required at least 0.5 NaCl l(-1) and grew in ...; ...ate, fructose, glucose and mannitol. Also, strain [[SOL3f3]]7(T) grew heterotrophically on yeast extract, pept...; ...d on 16S rRNA gene sequences revealed that strain [[SOL3f3]]7(T) was a member of the family Clostridiaceae in ...; ...Clostridiaceae in the order Clostridiales; strain [[SOL3f3]]7(T) was related to members of various genera of t...; ...nd phylogenetic data, it is suggested that strain [[SOL3f3]]7(T) represents a novel species in a new genus. Th...; ... faouarense gen. nov., sp. nov. is proposed, with [[SOL3f3]]7(T) (=DSM 21485(T) =JCM 15487(T)) as the type str...",0,0,0,20173012
UNKNOWN_MICROBE,AUTO:DSM%2021485,DSM 21485,2119:2127,"...en. nov., sp. nov. is proposed, with SOL3f37(T) (=[[DSM 2148]]5(T) =JCM 15487(T)) as the type strain of Sporosal...",0,1,0,20173012
UNKNOWN_MICROBE,AUTO:JCM%2015487,JCM 15487,2133:2141,"...nov. is proposed, with SOL3f37(T) (=DSM 21485(T) =[[JCM 1548]]7(T)) as the type strain of Sporosalibacterium fao...",0,1,0,20173012
UNKNOWN_MICROBE,AUTO:37HS60,37HS60,1773:1778,"...ty (93.4 %) with Clostridiisalibacter paucivorans [[37HS6]]0(T), 91.8 % with Thermohalobacter berrensis CTT3(...",0,0,0,20173012
UNKNOWN_MICROBE,AUTO:CTT3,CTT3,1823:1826,"...37HS60(T), 91.8 % with Thermohalobacter berrensis [[CTT]]3(T) and 91.7 % with Caloranaerobacter azorensis M...",0,0,0,20173012
UNKNOWN_MICROBE,AUTO:MV1087,MV1087,1875:1880,"...T3(T) and 91.7 % with Caloranaerobacter azorensis [[MV108]]7(T). On the basis of genotypic, phenotypic and ph...",0,1,0,20173012
UNKNOWN_MICROBE,AUTO:yeast%20extract,yeast extract,1048:1060; 1208:1220,"...ntrations up to 150 g l(-1) (optimum 40 g l(-1)). [[Yeast extrac]]t (2 g l(-1)) was required for degradation of pyru...; ...Also, strain SOL3f37(T) grew heterotrophically on [[yeast extrac]]t, peptone and bio-Trypticase, but was unable to g...",1,0,0,20173012
UNKNOWN_MICROBE,AUTO:peptone,peptone,1223:1229,"...L3f37(T) grew heterotrophically on yeast extract, [[pepton]]e and bio-Trypticase, but was unable to grow on Ca...",0,0,0,20173012
UNKNOWN_MICROBE,AUTO:bio-Trypticase,bio-Trypticase,1235:1248,"...w heterotrophically on yeast extract, peptone and [[bio-Trypticas]]e, but was unable to grow on Casamino acids. Sulfa...",0,0,0,20173012
UNKNOWN_MICROBE,AUTO:Casamino%20acids,Casamino acids,1277:1290,"...one and bio-Trypticase, but was unable to grow on [[Casamino acid]]s. Sulfate, thiosulfate, sulfite, elemental sulfur...",1,0,0,20173012
UNKNOWN_MICROBE,AUTO:YUAN-3,YUAN-3,140:145; 513:518; 977:982; 1518:1523,"...ter.\n\nTwo strictly anaerobic bacterial strains ([[YUAN-]]3T and X-29) were isolated from anaerobic activate...; ...oaggregative and autofluorescent growth of strain [[YUAN-]]3T and non-aggregative growth of strain X-29 were ...; ...2 : 0) (26.67 %). The DNA G+C contents of strains [[YUAN-]]3T and X-29 were 47.8 and 49.0 mol%, respectively....; .... The type strain of Ethanoligenens harbinense is [[YUAN-]]3T (=JCM 12961T = CGMCC 1.5033T).\n\nPMID:16585689...",0,0,0,16585689
UNKNOWN_MICROBE,AUTO:X-29,X-29,152:155; 558:561; 989:992,"...strictly anaerobic bacterial strains (YUAN-3T and [[X-2]]9) were isolated from anaerobic activated sludge o...; ...rain YUAN-3T and non-aggregative growth of strain [[X-2]]9 were observed at 20-44 degrees C and pH 3.5-9.0....; ...7 %). The DNA G+C contents of strains YUAN-3T and [[X-2]]9 were 47.8 and 49.0 mol%, respectively. Phylogene...",0,0,0,16585689
UNKNOWN_MICROBE,AUTO:JCM%2012961,JCM 12961,1528:1536,"... strain of Ethanoligenens harbinense is YUAN-3T (=[[JCM 1296]]1T = CGMCC 1.5033T).\n\nPMID:16585689', 'saved_to'...",0,1,0,16585689
UNKNOWN_MICROBE,AUTO:CGMCC%201.5033,CGMCC 1.5033,1541:1552,"...hanoligenens harbinense is YUAN-3T (=JCM 12961T = [[CGMCC 1.503]]3T).\n\nPMID:16585689', 'saved_to': None, 'windowe...",0,1,0,16585689
UNKNOWN_MICROBE,AUTO:iso-C12%3A0,iso-C12:0,,,0,1,0,16585689
UNKNOWN_MICROBE,AUTO:P-4,P-4,231:233; 376:378; 412:414; 564:566; 716:718; 1034:1036; 1186:1188; 1494:1496; 1617:1619,"...ading, Gram-negative bacterium, designated strain [[P-]]4(T), was isolated from a polycyclic aromatic hydr...; ...ils from a coking chemical plant. Cells of strain [[P-]]4(T) were non-motile rods. Strain P-4(T) grew at 1...; ...lls of strain P-4(T) were non-motile rods. Strain [[P-]]4(T) grew at 15-45 °C (optimum, 37 °C), pH 6.0-10....; ... of the 16S rRNA gene sequence showed that strain [[P-]]4(T) was related phylogenetically to members of th...; ...f 93.7-95.1 %. The cellular fatty acids of strain [[P-]]4(T) were iso-C15 : 0, summed feature 3 (C16 : 1ω7...; ...e 7 as the major quinone. The polyamine of strain [[P-]]4(T) was homospermidine, and the main polar lipids...; ... The G+C content of the DNA was 45.4 mol%. Strain [[P-]]4(T) showed a range of phenotypic characteristics ...; ...sis of these results, it is concluded that strain [[P-]]4(T) represents a novel species of the genus Parap...; ...the name Parapedobacter pyrenivorans (type strain [[P-]]4(T) = NBRC 109113(T) = CGMCC 1.12195(T)) is propo...",0,0,0,23710053
UNKNOWN_MICROBE,AUTO:NBRC%20109113,NBRC 109113,1626:1636,...Parapedobacter pyrenivorans (type strain P-4(T) = [[NBRC 10911]]3(T) = CGMCC 1.12195(T)) is proposed. An emended d...,0,1,0,23710053
UNKNOWN_MICROBE,AUTO:CGMCC%201.12195,CGMCC 1.12195,1643:1655,...renivorans (type strain P-4(T) = NBRC 109113(T) = [[CGMCC 1.1219]]5(T)) is proposed. An emended description of the g...,0,1,0,23710053
UNKNOWN_MICROBE,AUTO:Alteromonas%20fortis,Alteromonas fortis,810,,1,0,0,31199221
UNKNOWN_MICROBE,AUTO:1,1,182:182; 202:202; 507:507; 637:637; 646:646; 651:651; 680:680; 685:685; 703:703; 751:751; 772:772; 783:783; 1073:1073; 1086:1086; 1327:1327; 1447:1447; 1609:1609; 1834:1834; 1865:1865; 1866:1866; 1867:1867; 1877:1877; 1881:1881; 1896:1896; 1897:1897; 1902:1902,,0,0,0,31199221
UNKNOWN_MICROBE,AUTO:ATCC%2043554,ATCC 43554,1839:1848,...tis sp. nov. is proposed. The type strain is 1T (=[[ATCC 4355]]4T=RCC 5933T=CIP 111645T=DSM 106819T).\n\nPMID:311...,0,1,0,31199221
UNKNOWN_MICROBE,AUTO:RCC%205933,RCC 5933,1851:1858,"... is proposed. The type strain is 1T (=ATCC 43554T=[[RCC 593]]3T=CIP 111645T=DSM 106819T).\n\nPMID:31199221', 's...",0,0,0,31199221
UNKNOWN_MICROBE,AUTO:CIP%20111645,CIP 111645,1861:1870,"...ed. The type strain is 1T (=ATCC 43554T=RCC 5933T=[[CIP 11164]]5T=DSM 106819T).\n\nPMID:31199221', 'saved_to': No...",0,0,0,31199221
UNKNOWN_MICROBE,AUTO:DSM%20106819,DSM 106819,1873:1882,"... strain is 1T (=ATCC 43554T=RCC 5933T=CIP 111645T=[[DSM 10681]]9T).\n\nPMID:31199221', 'saved_to': None, 'windowe...",0,1,0,31199221
UNKNOWN_MICROBE,AUTO:Q-8,Q-8,819:821,...nd 10 methyl C17 : 0. The respiratory quinone was [[Q-]]8 and major polar lipids were phosphatidylethanola...,0,0,0,31199221
UNKNOWN_MICROBE,AUTO:C18%3A1%20%CF%897c,C18:1 ω7c,,,0,1,0,31199221
UNKNOWN_MICROBE,AUTO:C16%3A1%20%CF%897c,C16:1 ω7c,,,0,1,0,31199221
UNKNOWN_MICROBE,AUTO:iso-C15%3A0%202OH,iso-C15:0 2OH,,,0,1,0,31199221
UNKNOWN_MICROBE,AUTO:10-methyl%20C17%3A0,10-methyl C17:0,,,0,1,0,31199221
UNKNOWN_MICROBE,AUTO:C16%3A0%20N%20alcohol,C16:0 N alcohol,,,0,1,0,31199221
UNKNOWN_MICROBE,AUTO:H-2,H-2,343:345; 887:889,"... four new dissimilatory Fe(III)-reducers (strains [[H-]]2T, 172T, TACP-2T and TACP-5). All four isolates a...; ... names Geobacter hydrogenophilus sp. nov. (strain [[H-]]2T), Geobacter chapellei sp. nov. (strain 172T) an...",0,0,0,11321104
UNKNOWN_MICROBE,AUTO:172,172,349:351; 931:933,"...new dissimilatory Fe(III)-reducers (strains H-2T, [[17]]2T, TACP-2T and TACP-5). All four isolates are non...; ...train H-2T), Geobacter chapellei sp. nov. (strain [[17]]2T) and Geobacter grbiciae sp. nov. (strains TACP-...",0,0,0,11321104
UNKNOWN_MICROBE,AUTO:TACP-2,TACP-2,355:360; 978:983,"...ssimilatory Fe(III)-reducers (strains H-2T, 172T, [[TACP-]]2T and TACP-5). All four isolates are non-motile, ...; ...in 172T) and Geobacter grbiciae sp. nov. (strains [[TACP-]]2T and TACP-5) are proposed. Geobacter hydrogenoph...",0,0,0,11321104
UNKNOWN_MICROBE,AUTO:TACP-5,TACP-5,367:372; 990:995,"...Fe(III)-reducers (strains H-2T, 172T, TACP-2T and [[TACP-]]5). All four isolates are non-motile, Gram-negativ...; ... Geobacter grbiciae sp. nov. (strains TACP-2T and [[TACP-]]5) are proposed. Geobacter hydrogenophilus and Geo...",0,0,0,11321104
UNKNOWN_MICROBE,AUTO:GS-15,GS-15,536:540,...tical to that of Geobacter metallireducens strain [[GS-1]]5T. Analysis of the 16S rRNA sequences indicated t...,0,0,0,11321104
