microbe,id,label,kg_id,in_kg,original_spans,study_taxa,strains,uncategorized,chemicals_mentioned
UNKNOWN_MICROBE,AUTO:DA-C8,DA-C8,,0,243:247; 581:585; 727:731; 891:895; 1152:1156; 1251:1255; 1363:1367; 1791:1795,0,1,0,0
UNKNOWN_MICROBE,AUTO:LC2-13A,LC2-13A,,0,789:795; 1179:1185,0,1,0,0
UNKNOWN_MICROBE,AUTO:HSCC596,HSCC596,,0,840:846,0,1,0,0
UNKNOWN_MICROBE,AUTO:K13,K13,,0,954:956; 1274:1276,0,1,0,0
UNKNOWN_MICROBE,AUTO:JCM%2034211,JCM 34211,kgmicrobe.strain:JCM-34211,1,1800:1808,0,1,0,0
UNKNOWN_MICROBE,AUTO:DSM%20111723,DSM 111723,kgmicrobe.strain:DSM-111723,1,1811:1820,0,1,0,0
UNKNOWN_MICROBE,AUTO:beech%20wood%20xylan,beech wood xylan,,0,347:362,0,0,0,1
UNKNOWN_MICROBE,,,SAMN08731602:HGPBHO_47720,1,,0,0,1,0
UNKNOWN_MICROBE,AUTO:BW863,BW863,,0,368:372; 582:586; 1068:1072; 1669:1673; 1832:1836,0,1,0,0
UNKNOWN_MICROBE,AUTO:BW872,BW872,,0,381:385; 595:599; 1081:1085; 1682:1686,0,1,0,0
UNKNOWN_MICROBE,AUTO:DSM%2019998,DSM 19998,kgmicrobe.strain:DSM-19998,1,1843:1851,0,1,0,0
UNKNOWN_MICROBE,AUTO:NCIMB%2014408,NCIMB 14408,kgmicrobe.strain:NCIMB-14408,1,1857:1867,0,1,0,0
UNKNOWN_MICROBE,AUTO:B2,B2,,0,1168:1169,1,0,0,0
UNKNOWN_MICROBE,AUTO:ribulose-bisphosphate,ribulose-bisphosphate,,0,460:480,1,0,0,0
UNKNOWN_MICROBE,AUTO:Q-10,Q-10,,0,942:945,1,0,0,0
UNKNOWN_MICROBE,AUTO:SOL3f37,SOL3f37,,0,232:238; 373:379; 458:464; 820:826; 916:922; 1171:1177; 1501:1507; 1589:1595; 1975:1981; 2106:2112,0,1,0,0
UNKNOWN_MICROBE,AUTO:DSM%2021485,DSM 21485,kgmicrobe.strain:DSM-21485,1,2119:2127,0,1,0,0
UNKNOWN_MICROBE,AUTO:JCM%2015487,JCM 15487,kgmicrobe.strain:JCM-15487,1,2133:2141,0,1,0,0
UNKNOWN_MICROBE,AUTO:37HS60,37HS60,,0,1773:1778,1,0,0,0
UNKNOWN_MICROBE,AUTO:CTT3,CTT3,,0,1823:1826,1,0,0,0
UNKNOWN_MICROBE,AUTO:MV1087,MV1087,,0,1875:1880,0,1,0,0
UNKNOWN_MICROBE,AUTO:yeast%20extract,yeast extract,CAS-RN:8013-01-2,1,1048:1060; 1208:1220,1,0,0,0
UNKNOWN_MICROBE,AUTO:peptone,peptone,,0,1223:1229,0,0,1,0
UNKNOWN_MICROBE,AUTO:bio-Trypticase,bio-Trypticase,,0,1235:1248,1,0,0,0
UNKNOWN_MICROBE,AUTO:Casamino%20acids,Casamino acids,,0,1277:1290,1,0,0,0
UNKNOWN_MICROBE,AUTO:YUAN-3,YUAN-3,,0,140:145; 513:518; 977:982; 1518:1523,0,1,0,0
UNKNOWN_MICROBE,AUTO:X-29,X-29,,0,152:155; 558:561; 989:992,0,1,0,0
UNKNOWN_MICROBE,AUTO:JCM%2012961,JCM 12961,kgmicrobe.strain:JCM-12961,1,1528:1536,0,1,0,0
UNKNOWN_MICROBE,AUTO:CGMCC%201.5033,CGMCC 1.5033,kgmicrobe.strain:CGMCC-1.5033,1,1541:1552,0,1,0,0
UNKNOWN_MICROBE,AUTO:iso-C12%3A0,iso-C12:0,,0,,0,1,0,0
UNKNOWN_MICROBE,AUTO:P-4,P-4,,0,231:233; 376:378; 412:414; 564:566; 716:718; 1034:1036; 1186:1188; 1494:1496; 1617:1619,0,1,0,0
UNKNOWN_MICROBE,AUTO:NBRC%20109113,NBRC 109113,kgmicrobe.strain:NBRC-109113,1,1626:1636,0,1,0,0
UNKNOWN_MICROBE,AUTO:CGMCC%201.12195,CGMCC 1.12195,kgmicrobe.strain:CGMCC-1.12195,1,1643:1655,0,1,0,0
UNKNOWN_MICROBE,AUTO:Alteromonas%20fortis,Alteromonas fortis,,0,810,1,0,0,0
UNKNOWN_MICROBE,AUTO:1,1,,0,182:182; 202:202; 507:507; 637:637; 646:646; 651:651; 680:680; 685:685; 703:703; 751:751; 772:772; 783:783; 1073:1073; 1086:1086; 1327:1327; 1447:1447; 1609:1609; 1834:1834; 1865:1865; 1866:1866; 1867:1867; 1877:1877; 1881:1881; 1896:1896; 1897:1897; 1902:1902,0,0,1,0
UNKNOWN_MICROBE,AUTO:ATCC%2043554,ATCC 43554,kgmicrobe.strain:ATCC-43554,1,1839:1848,0,1,0,0
UNKNOWN_MICROBE,AUTO:RCC%205933,RCC 5933,kgmicrobe.strain:RCC-5933,1,1851:1858,0,1,0,0
UNKNOWN_MICROBE,AUTO:CIP%20111645,CIP 111645,kgmicrobe.strain:CIP-111645,1,1861:1870,0,1,0,0
UNKNOWN_MICROBE,AUTO:DSM%20106819,DSM 106819,kgmicrobe.strain:DSM-106819,1,1873:1882,0,1,0,0
UNKNOWN_MICROBE,AUTO:Q-8,Q-8,,0,819:821,0,1,0,0
UNKNOWN_MICROBE,AUTO:C18%3A1%20%CF%897c,C18:1 ω7c,,0,,0,1,0,0
UNKNOWN_MICROBE,AUTO:C16%3A1%20%CF%897c,C16:1 ω7c,,0,,0,1,0,0
UNKNOWN_MICROBE,AUTO:iso-C15%3A0%202OH,iso-C15:0 2OH,,0,,0,1,0,0
UNKNOWN_MICROBE,AUTO:10-methyl%20C17%3A0,10-methyl C17:0,,0,,0,1,0,0
UNKNOWN_MICROBE,AUTO:C16%3A0%20N%20alcohol,C16:0 N alcohol,,0,,0,1,0,0
UNKNOWN_MICROBE,AUTO:H-2,H-2,,0,343:345; 887:889,0,1,0,0
UNKNOWN_MICROBE,AUTO:172,172,,0,349:351; 931:933,0,1,0,0
UNKNOWN_MICROBE,AUTO:TACP-2,TACP-2,,0,355:360; 978:983,1,0,0,0
UNKNOWN_MICROBE,AUTO:TACP-5,TACP-5,,0,367:372; 990:995,1,0,0,0
UNKNOWN_MICROBE,AUTO:GS-15,GS-15,,0,536:540,0,1,0,0
UNKNOWN_MICROBE,AUTO:volatile%20fatty%20acids,volatile fatty acids,mediadive.solution:3356,1,1424:1443,1,0,0,0
UNKNOWN_MICROBE,AUTO:ASpC2,ASpC2,,0,243:247; 921:925; 1572:1576; 1632:1636,0,1,0,0
UNKNOWN_MICROBE,AUTO:ATCC%20BAA-1083,ATCC BAA-1083,kgmicrobe.strain:ATCC-BAA-1083,1,1581:1593,0,1,0,0
UNKNOWN_MICROBE,AUTO:JCM%2012856,JCM 12856,kgmicrobe.strain:JCM-12856,1,1598:1606,0,1,0,0
UNKNOWN_MICROBE,AUTO:SEBR%204228,SEBR 4228,kgmicrobe.strain:SEBR-4228,1,1706:1714,1,0,0,0
UNKNOWN_MICROBE,AUTO:Z-7591,Z-7591,,0,1336:1341,1,0,0,0
UNKNOWN_MICROBE,AUTO:sugars,sugars,,0,756:761,1,0,0,0
UNKNOWN_MICROBE,AUTO:H96B60,H96B60,,0,278:283; 772:777; 886:891; 1127:1132; 1326:1331,0,1,0,0
UNKNOWN_MICROBE,AUTO:DSM%2022440,DSM 22440,kgmicrobe.strain:DSM-22440,1,1340:1348,0,1,0,0
UNKNOWN_MICROBE,AUTO:CGMCC%201.7733,CGMCC 1.7733,kgmicrobe.strain:CGMCC-1.7733,1,1355:1366,0,1,0,0
UNKNOWN_MICROBE,AUTO:meso-diaminopimelic%20acid,meso-diaminopimelic acid,,0,525:548,1,0,0,0
UNKNOWN_MICROBE,AUTO:menaquinone-6%20%28MK-6%29,menaquinone-6 (MK-6),,0,619:638,1,0,0,0
UNKNOWN_MICROBE,AUTO:anteiso-C13%3A0,anteiso-C13:0,,0,,0,1,0,0
